date,location,Visit_frequency
2014-01-06,Abila Airport,4
2014-01-06,Abila Zacharo,6
2014-01-06,Albert's Fine Clothing,2
2014-01-06,Bean There Done That,5
2014-01-06,Brew've Been Served,16
2014-01-06,Brewed Awakenings,3
2014-01-06,Carlyle Chemical Inc.,1
2014-01-06,Coffee Cameleon,4
2014-01-06,Coffee Shack,1
2014-01-06,Frydos Autosupply n' More,6
2014-01-06,Gelatogalore,4
2014-01-06,Guy's Gyros,11
2014-01-06,Hallowed Grounds,9
2014-01-06,Hippokampos,16
2014-01-06,Jack's Magical Beans,4
2014-01-06,Kalami Kafenion,6
2014-01-06,Katerina's Cafe,19
2014-01-06,Kronos Pipe and Irrigation,1
2014-01-06,Maximum Iron and Steel,1
2014-01-06,Nationwide Refinery,1
2014-01-06,Ouzeri Elian,5
2014-01-06,Shoppers' Delight,1
2014-01-06,Stewart and Sons Fabrication,1
2014-01-06,U-Pump,1
2014-01-07,Abila Airport,3
2014-01-07,Abila Scrapyard,1
2014-01-07,Abila Zacharo,6
2014-01-07,Albert's Fine Clothing,2
2014-01-07,Bean There Done That,4
2014-01-07,Brew've Been Served,15
2014-01-07,Brewed Awakenings,4
2014-01-07,Carlyle Chemical Inc.,1
2014-01-07,Coffee Cameleon,4
2014-01-07,Coffee Shack,1
2014-01-07,Frydos Autosupply n' More,1
2014-01-07,Gelatogalore,10
2014-01-07,Guy's Gyros,13
2014-01-07,Hallowed Grounds,10
2014-01-07,Hippokampos,11
2014-01-07,Jack's Magical Beans,4
2014-01-07,Kalami Kafenion,5
2014-01-07,Katerina's Cafe,17
2014-01-07,Kronos Pipe and Irrigation,1
2014-01-07,Maximum Iron and Steel,1
2014-01-07,Nationwide Refinery,4
2014-01-07,Ouzeri Elian,9
2014-01-07,Stewart and Sons Fabrication,3
2014-01-08,Abila Airport,2
2014-01-08,Abila Zacharo,6
2014-01-08,Albert's Fine Clothing,1
2014-01-08,Bean There Done That,4
2014-01-08,Brew've Been Served,17
2014-01-08,Brewed Awakenings,3
2014-01-08,Carlyle Chemical Inc.,3
2014-01-08,Chostus Hotel,2
2014-01-08,Coffee Cameleon,4
2014-01-08,Coffee Shack,1
2014-01-08,Frank's Fuel,1
2014-01-08,Frydos Autosupply n' More,3
2014-01-08,Gelatogalore,8
2014-01-08,General Grocer,1
2014-01-08,Guy's Gyros,12
2014-01-08,Hallowed Grounds,10
2014-01-08,Hippokampos,13
2014-01-08,Jack's Magical Beans,4
2014-01-08,Kalami Kafenion,7
2014-01-08,Katerina's Cafe,16
2014-01-08,Kronos Pipe and Irrigation,1
2014-01-08,Maximum Iron and Steel,1
2014-01-08,Nationwide Refinery,2
2014-01-08,Ouzeri Elian,5
2014-01-08,Stewart and Sons Fabrication,2
2014-01-09,Abila Airport,4
2014-01-09,Abila Scrapyard,1
2014-01-09,Abila Zacharo,6
2014-01-09,Albert's Fine Clothing,2
2014-01-09,Bean There Done That,3
2014-01-09,Brew've Been Served,14
2014-01-09,Brewed Awakenings,3
2014-01-09,Carlyle Chemical Inc.,4
2014-01-09,Coffee Cameleon,3
2014-01-09,Coffee Shack,1
2014-01-09,Frydos Autosupply n' More,4
2014-01-09,Gelatogalore,8
2014-01-09,General Grocer,1
2014-01-09,Guy's Gyros,15
2014-01-09,Hallowed Grounds,9
2014-01-09,Hippokampos,14
2014-01-09,Jack's Magical Beans,5
2014-01-09,Kalami Kafenion,5
2014-01-09,Katerina's Cafe,15
2014-01-09,Kronos Pipe and Irrigation,1
2014-01-09,Maximum Iron and Steel,1
2014-01-09,Nationwide Refinery,4
2014-01-09,Ouzeri Elian,6
2014-01-09,Shoppers' Delight,1
2014-01-09,Stewart and Sons Fabrication,3
2014-01-10,Abila Airport,1
2014-01-10,Abila Zacharo,7
2014-01-10,Albert's Fine Clothing,1
2014-01-10,Bean There Done That,5
2014-01-10,Brew've Been Served,17
2014-01-10,Brewed Awakenings,3
2014-01-10,Carlyle Chemical Inc.,1
2014-01-10,Chostus Hotel,2
2014-01-10,Coffee Cameleon,4
2014-01-10,Frydos Autosupply n' More,3
2014-01-10,Gelatogalore,2
2014-01-10,General Grocer,1
2014-01-10,Guy's Gyros,14
2014-01-10,Hallowed Grounds,9
2014-01-10,Hippokampos,11
2014-01-10,Jack's Magical Beans,4
2014-01-10,Kalami Kafenion,4
2014-01-10,Katerina's Cafe,11
2014-01-10,Kronos Mart,1
2014-01-10,Nationwide Refinery,2
2014-01-10,Octavio's Office Supplies,2
2014-01-10,Ouzeri Elian,7
2014-01-10,Roberts and Sons,1
2014-01-10,Shoppers' Delight,1
2014-01-10,Stewart and Sons Fabrication,2
2014-01-11,Abila Zacharo,4
2014-01-11,Ahaggo Museum,2
2014-01-11,Albert's Fine Clothing,2
2014-01-11,Frydos Autosupply n' More,4
2014-01-11,Gelatogalore,2
2014-01-11,General Grocer,1
2014-01-11,Guy's Gyros,4
2014-01-11,Hippokampos,12
2014-01-11,Kalami Kafenion,5
2014-01-11,Katerina's Cafe,18
2014-01-11,Ouzeri Elian,3
2014-01-11,Roberts and Sons,1
2014-01-11,Shoppers' Delight,3
2014-01-12,Abila Zacharo,1
2014-01-12,Ahaggo Museum,1
2014-01-12,Albert's Fine Clothing,2
2014-01-12,Desafio Golf Course,3
2014-01-12,Frydos Autosupply n' More,2
2014-01-12,Gelatogalore,2
2014-01-12,General Grocer,1
2014-01-12,Guy's Gyros,5
2014-01-12,Hippokampos,13
2014-01-12,Kalami Kafenion,2
2014-01-12,Katerina's Cafe,11
2014-01-12,Kronos Mart,1
2014-01-12,Ouzeri Elian,6
2014-01-12,Shoppers' Delight,5
2014-01-13,Abila Airport,3
2014-01-13,Abila Zacharo,7
2014-01-13,Albert's Fine Clothing,2
2014-01-13,Bean There Done That,7
2014-01-13,Brew've Been Served,15
2014-01-13,Brewed Awakenings,3
2014-01-13,Carlyle Chemical Inc.,1
2014-01-13,Coffee Cameleon,4
2014-01-13,Coffee Shack,1
2014-01-13,Daily Dealz,1
2014-01-13,Frydos Autosupply n' More,4
2014-01-13,Gelatogalore,5
2014-01-13,Guy's Gyros,15
2014-01-13,Hallowed Grounds,7
2014-01-13,Hippokampos,12
2014-01-13,Jack's Magical Beans,4
2014-01-13,Kalami Kafenion,1
2014-01-13,Katerina's Cafe,15
2014-01-13,Kronos Mart,2
2014-01-13,Kronos Pipe and Irrigation,1
2014-01-13,Maximum Iron and Steel,1
2014-01-13,Nationwide Refinery,1
2014-01-13,Ouzeri Elian,6
2014-01-13,Shoppers' Delight,2
2014-01-13,U-Pump,1
2014-01-14,Abila Airport,3
2014-01-14,Abila Scrapyard,1
2014-01-14,Abila Zacharo,5
2014-01-14,Albert's Fine Clothing,2
2014-01-14,Bean There Done That,5
2014-01-14,Brew've Been Served,16
2014-01-14,Brewed Awakenings,3
2014-01-14,Carlyle Chemical Inc.,3
2014-01-14,Chostus Hotel,2
2014-01-14,Coffee Cameleon,4
2014-01-14,Coffee Shack,1
2014-01-14,Frydos Autosupply n' More,3
2014-01-14,Gelatogalore,6
2014-01-14,Guy's Gyros,12
2014-01-14,Hallowed Grounds,9
2014-01-14,Hippokampos,11
2014-01-14,Jack's Magical Beans,2
2014-01-14,Kalami Kafenion,6
2014-01-14,Katerina's Cafe,17
2014-01-14,Kronos Mart,1
2014-01-14,Nationwide Refinery,4
2014-01-14,Octavio's Office Supplies,1
2014-01-14,Ouzeri Elian,8
2014-01-14,Roberts and Sons,1
2014-01-14,Stewart and Sons Fabrication,2
2014-01-15,Abila Airport,2
2014-01-15,Abila Zacharo,7
2014-01-15,Albert's Fine Clothing,1
2014-01-15,Bean There Done That,4
2014-01-15,Brew've Been Served,17
2014-01-15,Brewed Awakenings,2
2014-01-15,Carlyle Chemical Inc.,3
2014-01-15,Coffee Cameleon,4
2014-01-15,Frydos Autosupply n' More,4
2014-01-15,Gelatogalore,5
2014-01-15,General Grocer,1
2014-01-15,Guy's Gyros,13
2014-01-15,Hallowed Grounds,8
2014-01-15,Hippokampos,14
2014-01-15,Jack's Magical Beans,4
2014-01-15,Kalami Kafenion,6
2014-01-15,Katerina's Cafe,14
2014-01-15,Kronos Pipe and Irrigation,1
2014-01-15,Maximum Iron and Steel,1
2014-01-15,Nationwide Refinery,3
2014-01-15,Ouzeri Elian,9
2014-01-15,Shoppers' Delight,1
2014-01-15,Stewart and Sons Fabrication,2
2014-01-16,Abila Airport,3
2014-01-16,Abila Scrapyard,1
2014-01-16,Abila Zacharo,6
2014-01-16,Albert's Fine Clothing,2
2014-01-16,Bean There Done That,5
2014-01-16,Brew've Been Served,15
2014-01-16,Brewed Awakenings,3
2014-01-16,Carlyle Chemical Inc.,2
2014-01-16,Coffee Cameleon,2
2014-01-16,Coffee Shack,1
2014-01-16,Frydos Autosupply n' More,2
2014-01-16,Gelatogalore,4
2014-01-16,Guy's Gyros,13
2014-01-16,Hallowed Grounds,11
2014-01-16,Hippokampos,17
2014-01-16,Jack's Magical Beans,4
2014-01-16,Kalami Kafenion,4
2014-01-16,Katerina's Cafe,17
2014-01-16,Kronos Mart,1
2014-01-16,Nationwide Refinery,3
2014-01-16,Octavio's Office Supplies,1
2014-01-16,Ouzeri Elian,8
2014-01-16,Roberts and Sons,2
2014-01-16,Shoppers' Delight,2
2014-01-16,Stewart and Sons Fabrication,2
2014-01-17,Abila Zacharo,5
2014-01-17,Albert's Fine Clothing,1
2014-01-17,Bean There Done That,5
2014-01-17,Brew've Been Served,14
2014-01-17,Brewed Awakenings,3
2014-01-17,Chostus Hotel,2
2014-01-17,Coffee Cameleon,5
2014-01-17,Coffee Shack,1
2014-01-17,Frydos Autosupply n' More,3
2014-01-17,Gelatogalore,6
2014-01-17,General Grocer,1
2014-01-17,Guy's Gyros,14
2014-01-17,Hallowed Grounds,10
2014-01-17,Hippokampos,11
2014-01-17,Jack's Magical Beans,2
2014-01-17,Kalami Kafenion,7
2014-01-17,Katerina's Cafe,13
2014-01-17,Kronos Mart,1
2014-01-17,Ouzeri Elian,6
2014-01-17,Shoppers' Delight,2
2014-01-17,Stewart and Sons Fabrication,1
2014-01-18,Abila Zacharo,5
2014-01-18,Ahaggo Museum,2
2014-01-18,Albert's Fine Clothing,3
2014-01-18,Chostus Hotel,1
2014-01-18,Frank's Fuel,1
2014-01-18,Frydos Autosupply n' More,5
2014-01-18,Gelatogalore,1
2014-01-18,General Grocer,2
2014-01-18,Guy's Gyros,6
2014-01-18,Hippokampos,9
2014-01-18,Kalami Kafenion,6
2014-01-18,Katerina's Cafe,20
2014-01-18,Ouzeri Elian,5
2014-01-18,Roberts and Sons,3
2014-01-18,Shoppers' Delight,1
2014-01-19,Abila Zacharo,1
2014-01-19,Ahaggo Museum,1
2014-01-19,Albert's Fine Clothing,2
2014-01-19,Desafio Golf Course,5
2014-01-19,Frydos Autosupply n' More,3
2014-01-19,Gelatogalore,1
2014-01-19,General Grocer,1
2014-01-19,Guy's Gyros,11
2014-01-19,Hippokampos,7
2014-01-19,Katerina's Cafe,9
2014-01-19,Kronos Mart,3
2014-01-19,Ouzeri Elian,4
2014-01-19,Shoppers' Delight,1
